Mobile,Country,Upload,Download,Latency,GDP Growth
0.0,South Africa,-1116.0,-4902.0,24.0,-6.95960445218964
0.0,Spain,-54562.0,-56300.0,2.0,-10.8228864939664
0.0,Sri Lanka,89481.0,85591.0,-5.0,-3.5690761372374
0.0,Sudan,4308.0,14803.0,-108.0,-1.56216179984276
0.0,Suriname,1800.0,-1508.0,50.0,-14.5
0.0,Sweden,-68893.0,-81260.0,75.0,-2.79533514243728
0.0,Switzerland,47568.0,21427.0,-2.0,-2.39282604159746
0.0,Tajikistan,20291.0,55868.0,-39.0,4.49999951669761
0.0,Thailand,-76425.0,-83833.0,24.0,-6.08722028505679
0.0,Timor-Leste,1347.0,13945.0,-43.0,-8.70254848621823
0.0,Togo,1501.0,-9711.0,130.0,1.75280074920752
0.0,Trinidad and Tobago,-7139.0,-29646.0,31.0,-7.83187649658342
0.0,Tunisia,38514.0,55990.0,-41.0,-8.60031028272616
0.0,Turkey,-1577.0,-8364.0,8.0,1.7566507625293
0.0,Turks and Caicos Islands,-6342.0,-11388.0,3.0,-26.8000042915066
0.0,Uganda,2840.0,8683.0,8.0,2.85758127391374
0.0,Ukraine,-22233.0,-19169.0,19.0,-4.02031771396206
0.0,United Kingdom,53395.0,75777.0,-22.0,-9.79024036173693
0.0,United States,-18163.0,-90727.0,-2.0,-3.48614040819797
0.0,Uruguay,-602.0,4064.0,-9.0,-5.85872124345026
0.0,Uzbekistan,-5696.0,15722.0,-11.0,1.64779710168759
0.0,Vanuatu,18264.0,15496.0,-87.0,-9.23532846095011
0.0,Zambia,-6473.0,-6724.0,52.0,-3.01618890347348
0.0,Zimbabwe,-2698.0,-679.0,-2.0,-7.99999999999999
0.0,Afghanistan,983.0,1902.0,-34.0,-1.9347782488959
0.0,Albania,5871.0,10065.0,-6.0,-3.31123944391327
0.0,Algeria,461.0,3853.0,-10.0,-5.48099193515836
0.0,Andorra,27702.0,34404.0,-1.0,-11.9560584192697
0.0,Angola,995.0,466.0,-26.0,-4.04051000025351
0.0,Antigua and Barbuda,1308.0,2008.0,-18.0,-15.9735096410208
0.0,Argentina,5463.0,7171.0,-13.0,-9.90523485573888
0.0,Armenia,4821.0,5958.0,-6.0,-7.59999999999999
0.0,Australia,2614.0,18791.0,2.0,-0.284839297785609
0.0,Austria,3388.0,13919.0,-3.0,-6.25903481882027
0.0,Azerbaijan,2744.0,2163.0,-1.0,-4.30998913316057
0.0,Bahrain,7796.0,39741.0,-4.0,-5.81468342829542
0.0,Bangladesh,4350.0,8317.0,-12.0,2.37552165571601
0.0,Barbados,9608.0,70997.0,5.0,-17.6053641017878
0.0,Belarus,6235.0,8673.0,-5.0,-0.900000000246891
0.0,Belgium,1403.0,23773.0,-1.0,-6.28392995127165
0.0,Belize,201.0,181.0,1.0,-14.0384211620734
0.0,Benin,1677.0,1952.0,-17.0,3.84879240030133
0.0,Bhutan,3238.0,986.0,-10.0,-6.77210161101478
0.0,Bolivia,2491.0,5106.0,-11.0,-7.82328995009992
0.0,Bosnia and Herzegovina,1112.0,3960.0,-4.0,-4.32734580579653
0.0,Botswana,2059.0,1680.0,-25.0,-7.89305358895749
0.0,Brazil,15691.0,22287.0,-9.0,-4.05904827267295
0.0,Brunei Darussalam,9533.0,12737.0,-1.0,1.20300193904603
0.0,Bulgaria,7993.0,11013.0,-2.0,-4.15370282988493
0.0,Burkina Faso,413.0,7105.0,-85.0,2.02238469536866
0.0,Burundi,1434.0,2127.0,-8.0,0.297577119233125
0.0,Cambodia,1560.0,2717.0,-7.0,-3.14103480632566
0.0,Cameroon,1092.0,4005.0,-7.0,0.730339198197697
0.0,Canada,11046.0,34849.0,-13.0,-5.31294474285987
0.0,Central African Republic,-2092.0,1236.0,191.0,0.0
0.0,Chad,8522.0,5216.0,38.0,-0.890209999072951
0.0,Chile,42854.0,56237.0,-5.0,-5.77150166876176
0.0,China,9672.0,43409.0,1.0,2.29999999995441
0.0,Colombia,3790.0,7820.0,-34.0,-6.8473142056573
0.0,Comoros,14792.0,14154.0,74.0,4.91077747534176
0.0,Costa Rica,1527.0,8864.0,-8.0,-4.53996591674169
0.0,Cote d'Ivoire,1642.0,15051.0,-26.0,1.81644146095073
0.0,Croatia,4204.0,7251.0,-4.0,-8.36737821725714
0.0,Cyprus,4337.0,9991.0,-4.0,-5.10347951905253
0.0,Czech Republic,3712.0,13077.0,-2.0,-5.79357128432328
0.0,Denmark,29094.0,47556.0,-1.0,-2.06212495876164
0.0,Djibouti,5274.0,3279.0,-6.0,0.499999999999986
0.0,Dominica,118.0,5129.0,-19.0,-16.7091602926228
0.0,Dominican Republic,2435.0,4063.0,-19.0,-6.72023937283404
0.0,Ecuador,5771.0,6367.0,-24.0,-7.75012337710913
0.0,El Salvador,1805.0,5035.0,-27.0,-7.94398461326071
0.0,Equatorial Guinea,-2363.0,-1297.0,-19.0,-4.89335647440198
0.0,Estonia,9906.0,15166.0,-2.0,-2.95106931268964
0.0,Ethiopia,982.0,1239.0,4.0,6.05661779202561
0.0,Fiji,1279.0,2785.0,-11.0,-19.0487564856799
0.0,Finland,8420.0,25352.0,-2.0,-2.87069059271343
0.0,France,40666.0,57206.0,-9.0,-7.85525603703762
0.0,Gabon,-1139.0,-3327.0,-20.0,-1.32393655297315
0.0,Georgia,1710.0,2245.0,-10.0,-6.15967292756974
0.0,Germany,5108.0,20636.0,-2.0,-4.56961671737398
0.0,Ghana,3110.0,6553.0,-19.0,0.414443468055197
0.0,Greece,1027.0,4651.0,-10.0,-8.24773611483073
0.0,Grenada,3588.0,8776.0,-8.0,-11.2307582271741
0.0,Guatemala,1532.0,4895.0,-15.0,-1.51932802919289
0.0,Guinea,-688.0,-1419.0,-17.0,6.98855997075241
0.0,Guinea-Bissau,-1296.0,-6392.0,12.0,-2.39999999921721
0.0,Guyana,3353.0,9285.0,-24.0,43.4795146332261
0.0,Haiti,1253.0,2713.0,-14.0,-3.37375049597422
0.0,Honduras,2577.0,5347.0,-13.0,-8.96476018404584
0.0,Hungary,17698.0,38042.0,-2.0,-4.95674851669689
0.0,Iceland,25707.0,35898.0,-4.0,-6.50391225040894
0.0,India,17026.0,16322.0,-10.0,-7.9646104111382
0.0,Indonesia,1027.0,3843.0,-4.0,-2.06954349906437
0.0,Iraq,3278.0,4971.0,-9.0,-10.3650901764239
0.0,Ireland,6108.0,31466.0,-4.0,5.86697550911293
0.0,Israel,7377.0,39631.0,-5.0,-2.44001079210835
0.0,Italy,6231.0,16486.0,-10.0,-8.87114634766792
0.0,Jamaica,5572.0,5140.0,-8.0,-10.2
0.0,Japan,11393.0,55419.0,-7.0,-5.80990557067783
0.0,Jordan,6316.0,6310.0,-13.0,-1.5513843252939
0.0,Kazakhstan,6711.0,7818.0,-11.0,-2.60000000027189
0.0,Kenya,1557.0,3476.0,-8.0,-0.307497490498449
0.0,Latvia,-7211.0,-8433.0,-8.0,-3.62368391569032
0.0,Lebanon,36997.0,46797.0,-18.0,-20.2999931945589
0.0,Lesotho,-4167.0,-4381.0,13.0,-11.0609937385315
0.0,Liberia,7503.0,4893.0,-16.0,-2.87072242804096
0.0,Lithuania,24368.0,53714.0,-10.0,-0.871905539751921
0.0,Luxembourg,1985.0,-15085.0,3.0,-1.31320454303741
0.0,Madagascar,90405.0,113055.0,-19.0,-4.20000207447691
0.0,Malawi,22825.0,23563.0,-37.0,0.799999999999955
0.0,Malaysia,-21317.0,-38412.0,3.0,-5.58774467806195
0.0,Maldives,27024.0,58663.0,8.0,-31.9820637101164
0.0,Mali,5039.0,3003.0,-48.0,-1.64926140079287
